atom,x,y,z
O, 8.75558,-4.23293,-4.82714
O, 8.06893,-3.31973,-4.18714
O,-11.21876,-2.06043, 7.31286
O,-11.28066,-1.53473, 8.52286
O,12.59854, 7.01017,-1.18714
O,12.66754, 7.29807, 0.12286
O,-6.03046,-7.07073,-11.31714
O,-6.75446,-7.51793,-12.25714
O,-0.32246,-14.04045,-8.32714
O,-0.50446,-14.51494,-7.10714
O,-8.13686,-13.88076,-1.83714
O,-7.59716,-13.96196,-0.66714
O, 7.66354, 8.23887,12.73286
O, 8.34014, 8.30337,13.91286
O, 5.95754, 3.87600,13.60286
O, 5.79104, 4.49081,14.71286
O,-1.49616,-10.62953,10.87286
O,-2.11626,-10.32203,12.00286
O,-9.74986, 2.21877,-10.24714
O,-9.98093, 3.50217,-10.53714
O,-9.04386,-9.64953, 5.44286
O,-8.74526,-8.56053, 6.13286
O,-7.57496, 8.95578,-9.98714
O,-8.51516, 9.87489,-9.74714
O, 6.36224,-11.84503,-9.10714
O, 6.86934,-12.75963,-8.32714
O,11.51054,12.49617, 9.06286
O,11.86334,13.76927, 9.08286
O,-11.80346,-9.97713,-2.28714
O,-12.09146,-8.72583,-2.38714
O,11.62654,-6.52753,11.51286
O,10.51454,-6.61853,10.80286
O,-0.40318,-1.09265, 1.93548
O,-1.35618,-1.11845, 2.80548
O,-1.84078, 5.12907,-0.36452
O,-2.72338, 5.10405, 0.59548
O,-2.20838,-1.00965,-5.71452
O,-2.97488,-0.97665,-4.61452
O, 3.59672,-6.01375, 3.01548
O, 4.28602,-5.38875, 3.95548
O, 0.21722,-0.65935, 7.47548
O,-0.88288,-0.89665, 8.14548
O, 7.15522, 6.94325, 3.66548
O, 6.81362, 6.65385, 4.87548
O,-3.03918, 6.85095, 7.29548
O,-2.59788, 6.50175, 8.51548
O, 5.79525,-4.55535,-2.93452
O, 6.13660,-4.72335,-1.65452
O,-4.07748, 1.91405,-7.90452
O,-5.01328, 1.07305,-7.68452
O, 8.98002, 5.29548,-5.22452
O, 8.43512, 6.45726,-5.29452
O, 3.40552,11.13335, 3.88548
O, 2.41362,11.17535, 4.75548
O,-6.68798,-6.84979, 2.99548
O,-5.78998,-5.90533, 3.14548
O,-1.07888,-8.28645,-2.11452
O,-1.72958,-8.53635,-1.03452
O,-8.39538, 1.50455,-1.29452
O,-7.15368, 1.05385,-1.29452
O, 6.08502, 1.53825,-6.75452
O, 5.16002, 2.39115,-6.38452
O,-7.85888,-0.00255,10.04548
O,-8.48108,-0.87665,10.82548
O,-0.33628,-5.88665,10.38548
O, 0.81742,-6.25095,10.89548
O,-2.45898,10.35765,-5.23452
O,-3.40898, 9.86495,-4.50452
O,11.33132,-1.02465, 6.33548
O,12.03682, 0.03235, 6.55548
O,-9.75598, 7.87359, 2.72548
O,-9.96098, 6.59716, 2.98548
O, 6.39649,-10.71845,-1.03452
O, 5.96047,-11.82325,-0.40452
O, 4.53002, 3.81215,11.78548
